block,m,n,p,k,y
a,0,0,0,0,32
a,1,0,0,0,47
a,0,1,0,0,26
a,1,1,0,0,61
a,0,0,1,0,29
a,1,0,1,0,51
a,0,1,1,0,36
a,1,1,1,0,76
a,0,0,0,1,35
a,1,0,0,1,63
a,0,1,0,1,80
a,1,1,0,1,100
a,0,0,1,1,40
a,1,0,1,1,64
a,0,1,1,1,105
a,1,1,1,1,90
b,0,0,0,0,43
b,1,0,0,0,41
b,0,1,0,0,36
b,1,1,0,0,76
b,0,0,1,0,39
b,1,0,1,0,34
b,0,1,1,0,31
b,1,1,1,0,65
b,0,0,0,1,42
b,1,0,0,1,41
b,0,1,0,1,68
b,1,1,0,1,68
b,0,0,1,1,44
b,1,0,1,1,39
b,0,1,1,1,99
b,1,1,1,1,82
c,0,0,0,0,27
c,1,0,0,0,48
c,0,1,0,0,24
c,1,1,0,0,56
c,0,0,1,0,27
c,1,0,1,0,40
c,0,1,1,0,32
c,1,1,1,0,70
c,0,0,0,1,56
c,1,0,0,1,60
c,0,1,0,1,75
c,1,1,0,1,87
c,0,0,1,1,53
c,1,0,1,1,75
c,0,1,1,1,74
c,1,1,1,1,89
d,0,0,0,0,19
d,1,0,0,0,45
d,0,1,0,0,18
d,1,1,0,0,64
d,0,0,1,0,28
d,1,0,1,0,48
d,0,1,1,0,30
d,1,1,1,0,63
d,0,0,0,1,35
d,1,0,0,1,53
d,0,1,0,1,67
d,1,1,0,1,66
d,0,0,1,1,36
d,1,0,1,1,72
d,0,1,1,1,73
d,1,1,1,1,101
